x,y,a,alpha
1.0,-4.5,0.9999999847853571,0.011672147613777594
1.0,-4.5,0.9999999994062874,0.018288371371332275
0.9954745166692597,-4.49547451666926,0.999999991837464,0.026164015863262287
0.986423441762548,-4.48642365812197,0.999999988544228,0.035005347219979006
0.9728459963982352,-4.472848203378646,0.9999999638569079,0.044399893605482854
0.9547396153680445,-4.45475071862576,0.9999999239516363,0.053853110022423885
0.9320981966164517,-4.432137312699186,0.999999904362226,0.06268396407215324
0.904909670131245,-4.405020086531932,0.9999997791238455,0.07020156538384524
0.8731529300154808,-4.373420255555689,0.9999999549142048,0.075663025815895
0.8367943125447816,-4.337371807164034,0.9999999602833087,0.07841818471377254
0.7957839220214483,-4.296925453883577,0.9999999759277339,0.07790568338394942
0.7500522611483069,-4.252152529653672,0.9999996383691306,0.07382503859089312
0.6995076839885775,-4.203148395099572,0.9999994651622739,0.06613038946105182
0.6440352540435601,-4.150034850713898,0.9999982369911131,0.05507663312519586
0.5834974642382966,-4.092961087559877,0.9812106261942702,0.04118611480034756
0.5177371323906114,-4.0321027680956405,0.9185685069774383,0.025260802158533192
0.44667158951808233,-3.9677396518943473,0.8543646366823516,0.008330273598655295
0.3704248048224027,-3.900350976807221,0.788952712078733,-0.00850865873099008
0.2891436390889241,-3.8304160479162555,0.7226031513698943,-0.024323226438404365
0.2030067158225315,-3.758400181633318,0.6555720738979138,-0.038342460832375684
0.11223138202410779,-3.684741810673419,0.5880921207361925,-0.05008276459843893
0.01707768184077109,-3.609841589086457,0.5203796131792128,-0.05927215214324938
-0.08215092050376044,-3.534054511986886,0.4526331199830124,-0.06588876656030421
-0.1851097973307549,-3.4576854589048476,0.3850722593359218,-0.07005701848049682
-0.2914178280115639,-3.3809883024245457,0.3205430254933585,-0.07204256217478625
-0.40066385594284765,-3.3041680637511868,0.2658801658105114,-0.07220243831845685
-0.5124279343885858,-3.2273761445439137,0.22176024353948195,-0.07086618699265929
-0.626324506089429,-3.1506938902417145,0.18670261649122707,-0.06830975593047676
-0.7420133039605188,-3.074140266119233,0.15918262475301,-0.06483090577970224
-0.8591974651236657,-2.997686507260357,0.13800831130373423,-0.060729900452166606
-0.9776198876625665,-2.9212694760033813,0.12203166909811443,-0.05632206592350996
-1.0970599982225002,-2.8448022262604304,0.11027992160413408,-0.05193976760977317
-1.217329604837324,-2.7681827962194903,0.10184880244644451,-0.04794111605825986
-1.3382687042633514,-2.6913007944854477,0.09583971720418116,-0.04471873575465019
-1.4597407936991913,-2.614042205512328,0.09132602863467057,-0.042712622148400464
-1.581627406459331,-2.536292671042201,0.08691653591524175,-0.042402217276426235
-1.703821688557575,-2.4579393850801363,0.08207718853285237,-0.04434271134046932
-1.8262186045621767,-2.3788731051544736,0.07666821814116814,-0.04914825326290068
-1.9487088149578824,-2.2989857405478467,0.07047579933607813,-0.05746660608112735
-2.071173475850799,-2.2181649365199165,0.06309901338821125,-0.06989583787156117
-2.193477174733099,-2.1362871763337656,0.0539503502839525,-0.08681485841436183
-2.3154581574880897,-2.0532098728086208,0.04236933543607085,-0.10816213737583893
-2.436915741449798,-1.9687629091012808,0.027868817462002662,-0.13332797949422528
-2.5575957127268403,-1.8827403605626802,0.010408660557011291,-0.1613454125662218
-2.677175629719158,-1.794893471174084,-0.009460251243189444,-0.1913365552935255
-2.7952523196365098,-1.704926249548322,-0.030741210898349147,-0.22270885679907546
-2.911332798072021,-1.6124948892965918,-0.05202557517431209,-0.25533171522577525
-3.024827408446519,-1.5172118470136584,-0.07167918684926004,-0.2892072823840582
-3.1350440611262163,-1.4186542386254826,-0.08786063145624064,-0.3242782882282451
-3.2411811169797784,-1.3163762260777085,-0.09864742355443051,-0.36006550387335556
-3.34231782239179,-1.2099253713003473,-0.1022083433924172,-0.39540408635021923
-3.437400957104854,-1.0988640930280775,-0.09716141283248766,-0.42817535062619766
-3.52522718079525,-0.9827989414299471,-0.08291475900756899,-0.45538696491826114
-3.6044213827229257,-0.8614226033044076,-0.06012618624032773,-0.4733394871283894
-3.6734145876312607,-0.734574884930598,-0.030876044524331635,-0.47820965136452664
-3.730428842888762,-0.6023296624675589,0.0013150346456028384,-0.46667898061102225
-3.7734838862681976,-0.46511154766155755,0.032015924717740354,-0.43674941997563754
-3.8004467711668526,-0.3238388629490885,0.05661770327329967,-0.3883079572102974
-3.8091499493518604,-0.1800744571463531,0.06952329742269661,-0.32438260511242567
-3.7975965620990033,-0.03614746877334929,0.06646186914853362,-0.25379551747944934
-3.7642530735088275,0.10479706233167962,0.050433075454865105,-0.1825204120638073
-3.708394540853412,0.23888795358113266,0.023051257549493217,-0.1158731980351233
-3.6303929282134026,0.3618113736034848,-0.01368367507946365,-0.05837433632231338
-3.531879223171706,0.46920059842900685,-0.05735853160667812,-0.01341192498808029
-3.4157326735972173,0.5570746988343417,-0.10545067804603948,0.016720843831204143
-3.285891081602522,0.6222379149995172,-0.15546197364753292,0.0309690586954205
-3.1470261590741484,0.6625614028047839,-0.2048245787096497,0.029038843972441955
-3.00415864636517,0.6771068719566224,-0.24318788011291967,-0.018865314670175194
-2.8622900306080634,0.6660972713083543,-0.2688483848696894,-0.07876984792233241
-2.726060132493038,0.6307586862566876,-0.2922089375663547,-0.11822822508357803
-2.5996296894593245,0.57295396518916,-0.3097068943950143,-0.1548497104940864
